timestamp,x1,y1,x2,y2,cx,cy,z_mm,label,image_width,robot_x,robot_y,robot_yaw_deg,orig_x1_global,orig_y1_global,orig_x2_global,orig_y2_global,ext_x1_global,ext_y1_global,ext_x2_global,ext_y2_global
1750161002.6946452,179,0,415,309,297,154,769,glass,416,-55.48197873130941,-90.3089034911869,4.165818253809368,-54.713000908859215,-90.31474374629697,-54.8678858980233,-89.84603094705984,-54.45907481374954,-90.38680274271556,-54.70689079641208,-89.63686226393617
1750161002.6946452,2,0,183,310,92,155,757,glass,416,-55.48197873130941,-90.3089034911869,4.165818253809368,-54.816820584794385,-90.67030858263513,-54.72498331889838,-90.30626804271367,-54.631048730724274,-90.83333619105782,-54.48410910529067,-90.25087132718348
1750161002.8208747,179,0,415,310,297,155,755,glass,416,-55.48197873130941,-90.3089034911869,4.165818253809368,-54.72700050510668,-90.3146374217566,-54.87906574154216,-89.85445775540546,-54.477697251780555,-90.38538455088019,-54.72100163007731,-89.64909708471836
1750161002.8208747,2,0,183,312,92,156,747,glass,416,-55.48197873130941,-90.3089034911869,4.165818253809368,-54.82560735027015,-90.66553440705457,-54.73498325829615,-90.30630285709245,-54.64228954975446,-90.82640841430918,-54.497291002596064,-90.2516379343698
1750161002.9443521,179,0,415,309,297,154,778,glass,416,-55.48194749960947,-90.30890145252653,4.16503430953443,-54.70397001763126,-90.3148207037333,-54.860661216787236,-89.84062017511205,-54.447073093164406,-90.38772655838854,-54.697779011813964,-89.62900571259452
1750161003.0661223,179,0,415,309,297,154,764,glass,416,-55.48194749960947,-90.30890145252653,4.16503430953443,-54.71796961242265,-90.31471418764475,-54.87184117560409,-89.84904683048968,-54.46569551178939,-90.38630811175348,-54.71189001287969,-89.64124034030537
1750161003.0661223,2,0,183,311,92,155,756,glass,416,-55.48194749960947,-90.30890145252653,4.16503430953443,-54.817672968064166,-90.66983821532614,-54.72595204519733,-90.30627982932975,-54.63214874703061,-90.83265300206547,-54.48539527044366,-90.25095958447126
1750161003.1873715,179,0,415,309,297,154,765,glass,416,-55.48194749960947,-90.30890145252653,4.165031001316587,-54.71696964170218,-90.31472184010607,-54.871042580530734,-89.84844496180737,-54.46436534350572,-90.38640948812474,-54.710882045631394,-89.64036648284684
1750161003.1873715,2,0,183,311,92,155,756,glass,416,-55.48194749960947,-90.30890145252653,4.165031001316587,-54.8176729889044,-90.6698382536809,-54.725952045045965,-90.3062798729804,-54.632148777271645,-90.83265305113225,-54.48539526709815,-90.2509596420115
1750161003.3073044,179,0,415,309,297,154,772,glass,416,-55.48194749960947,-90.30890145252653,4.165031001316587,-54.70996984430957,-90.3147750985545,-54.86545260087903,-89.84423163444131,-54.45505413423417,-90.38711871197987,-54.70382654474532,-89.63424916939877
1750161003.3073044,1,0,182,312,91,156,749,glass,416,-55.48194749960947,-90.30890145252653,4.165031001316587,-54.82481639206809,-90.66831723890971,-54.73294768241925,-90.30837814666,-54.641457366253,-90.83013283866212,-54.49446743081486,-90.2542302910626
